title,publishedAt,viewCount,likeCount,commentCount,duration
Ep 7. ESCAPE FROM MAGIC ISLAND | 아날로그 트립 (Analog Trip NCT 127: Escape from Magic Island),2021-12-10T14:00:00Z,926742,89253,1120,1039
보너스 영상 #3 | 아날로그 트립 (Analog Trip NCT 127: Escape From Magic Island),2021-12-04T14:00:02Z,532705,65239,1376,199
"Ep 6. 뭉치면 살고, 흩어지면 죽는다! | 아날로그 트립 (Analog Trip NCT 127: Escape from Magic Island)",2021-12-03T14:00:30Z,1036766,94506,1253,1094
비밀스러운 공간🤫 | U+아이돌Live - XR LIVE : The Castle No.127 Behind,2021-11-27T13:00:04Z,470724,67902,1036,733
"Ep 5. 어둠이 내린 밤, 우물 앞 비석의 비밀은?! | 아날로그 트립 (Analog Trip NCT 127: Escape From Magic Island)",2021-11-26T14:00:03Z,1245725,108552,1454,1344
Ep 4. Lucky Seven! 7시 7분에 생긴 일... | 아날로그 트립 (Analog Trip NCT 127: Escape From Magic Island),2021-11-19T14:00:01Z,1269409,114910,1855,1183
보너스 영상 #2 | 아날로그 트립 (Analog Trip NCT 127: Escape From Magic Island),2021-11-13T14:00:18Z,433834,56229,819,406
보너스 영상 #1 | 아날로그 트립 (Analog Trip NCT 127: Escape From Magic Island),2021-11-13T14:00:00Z,511677,64363,996,423
[Un Cut] Take #6｜'Bring The Noize' Recording Behind the Scene,2021-11-13T13:00:30Z,669788,84493,3027,1385
Ep 3. '소무의녀'의 한을 풀어주오! | 아날로그 트립 (Analog Trip NCT 127: Escape From Magic Island),2021-11-12T14:00:01Z,1497539,132092,1937,952
[Un Cut] Take #5｜'Favorite (Vampire)' Recording Behind the Scene,2021-11-12T13:00:09Z,1543801,167295,6078,1644
[Un Cut] Take #4｜'Favorite (Vampire)' Dance Practice Behind the Scene,2021-11-10T13:00:23Z,1860055,157533,3265,793
2022 SM ARTIST SEASON’S GREETINGS Teaser #NCT127,2021-11-10T03:00:03Z,235777,49338,717,33
[Un Cut] Take #3｜'Favorite' Jacket Behind the Scene,2021-11-08T13:00:24Z,784477,91047,1772,1386
[Un Cut] Take #2｜'Favorite' MV Behind the Scene,2021-11-07T13:00:31Z,794793,104388,2292,1102
사랑해 또 사랑해 | Vampire House : The Favorite #2,2021-11-06T13:00:09Z,3219644,253047,6554,1952
"Ep 2. 산 넘어 산, 일촉즉발 위기의 연속 | 아날로그 트립 (Analog Trip NCT 127: Escape From Magic Island)",2021-11-05T14:00:00Z,1829772,170663,2920,1211
내 생각에는 오늘 역대급 찍겠네😎ㅣFavorite (Vampire) 음악방송 대기실 비하인드,2021-11-05T13:00:28Z,986057,105352,2253,966
[Un Cut] Take #1｜'Story of Favorite' Behind the Scene,2021-11-04T13:00:04Z,590962,83365,2010,1608
NCT 127 릴레이 인터뷰 #2 | 아날로그 트립 (Analog Trip NCT 127: Escape From Magic Island),2021-11-04T02:00:12Z,209938,36640,491,149
NCT 127 릴레이 인터뷰 #1 | 아날로그 트립 (Analog Trip NCT 127: Escape From Magic Island),2021-11-03T02:00:06Z,297821,49914,685,160
2022 NCT 127 SEASON’S GREETINGS CONCEPT TRAILER #NCT127,2021-11-01T03:00:30Z,345928,74998,1503,77
NCT 127 엔시티 127 'Favorite (Vampire)' Halloween Costume Ver.,2021-10-31T11:00:05Z,4505389,424973,14500,4
정중하고 우아한 뱀파이어들의 의회 | Vampire House : The Favorite #1,2021-10-30T13:00:05Z,2650917,262348,9733,1823
"Ep 1. 모두가 사라진 섬, 그곳에 숨겨진 비밀! | 아날로그 트립",2021-10-29T14:00:11Z,3060570,311375,7224,1302
NCT 127 엔시티 127 'Favorite (Vampire)' Dance Practice,2021-10-28T13:00:32Z,7219298,420208,14060,314
NCT 127 & 제작진 인터뷰 | 아날로그 트립 (Analog Trip NCT 127: Escape From Magic Island),2021-10-28T02:00:12Z,734248,114539,2529,825
REACTION to 'Favorite (Vampire)' MVㅣNCT 127 Reaction,2021-10-27T13:00:19Z,2177960,236089,5751,328
[REPLAY] NCT 127 'Favorite' Countdown Live,2021-10-26T03:00:29Z,606957,58950,1231,3114
NCT 127 'Favorite (Vampire)' (Official Audio) | Favorite - The 3rd Album Repackage,2021-10-25T09:02:30Z,693194,58365,1802,216
NCT 127 'Love On The Floor' (Official Audio) | Favorite - The 3rd Album Repackage,2021-10-25T09:02:25Z,2034586,92667,2537,219
NCT 127 'Pilot' (Official Audio) | Favorite - The 3rd Album Repackage,2021-10-25T09:02:20Z,1661446,96589,1985,210
공식 예고편 | 아날로그 트립 (Analog Trip NCT 127: Escape From Magic Island),2021-10-22T14:00:15Z,955700,179041,5752,104
[Un Cut] Take #6｜‘Magic Carpet Ride’ Recording Behind the Scene,2021-10-19T11:00:17Z,674038,85450,3475,1434
[Un Cut] Take #5｜‘Sticker’ Recording Behind the Scene,2021-10-18T11:00:26Z,1917680,172389,6461,1624
One Good Lemonade For One Good Talk🍋｜Open! JOHNNY MARKY’s Lemonade Stand,2021-10-17T13:00:14Z,1819169,189398,6722,1477
NCT 127 'Favorite' Mood Sampler - Catharsis,2021-10-15T15:00:18Z,691557,142960,3554,31
[Un Cut] Take #4｜'Sticker' Dance Practice Behind the Scene,2021-10-15T11:00:12Z,1616956,156224,2635,837
[Un Cut] Take #3｜'Sticker' MV Behind the Scene,2021-10-13T11:00:13Z,715280,78750,1752,1691
[Un Cut] Take #2 | ‘Dreamer’ + ‘Magic Carpet Ride’ + ‘Road Trip’ + ‘Lemonade’ Track Video Behind,2021-10-12T11:00:03Z,726870,86143,1547,1758
NCT 127 'Favorite' Mood Sampler - Classic,2021-10-11T15:00:09Z,861107,180269,5727,30
"해찬랜드에 오신 걸 환영합니다🧸💛ㅣ최고의 카우보이를 찾아라ㅣRound 3, 4",2021-10-10T13:00:21Z,1159941,118051,1632,700
[Un Cut] Take #1｜'Sticker' Jacket Behind the Scene,2021-10-09T11:00:06Z,541498,72450,1399,1336
1위다운 무대를 하는 거야🎤ㅣSticker 음악방송 대기실 비하인드,2021-10-08T13:00:31Z,920570,98742,2111,1454
NCT 127 ‘The Late Late Show with James Corden’ Behind The Scenes,2021-10-07T14:00:33Z,437937,66447,1261,850
